date,AAPL,AMZN,F
2017-06-08,152.0841,1010.27,10.2818
2017-06-09,146.1868,978.31,10.3096
2017-06-12,142.6935,964.91,10.4485
2017-06-13,143.8416,980.79,10.4393
2017-06-14,142.4384,976.47,10.3929
2017-06-15,141.5847,964.17,10.4115
2017-06-16,139.6026,987.71,10.3929
2017-06-19,143.5963,995.17,10.4115
2017-06-20,142.2912,992.59,10.3003
2017-06-21,143.1351,1002.23,10.2262
2017-06-22,142.8996,1001.3,10.3096
2017-06-23,143.5374,1003.74,10.2262
2017-06-26,143.086,993.98,10.3559
2017-06-27,141.0352,976.78,10.2633
2017-06-28,143.0958,990.33,10.2725
2017-06-29,140.9862,975.93,10.3466
2017-06-30,141.3198,968.0,10.3652
2017-07-03,140.8095,953.66,10.7079
2017-07-05,141.3885,971.4,10.467
2017-07-06,140.054,965.14,10.3559
2017-07-07,141.4768,978.76,10.43
2017-07-10,142.3403,996.47,10.5041
2017-07-11,142.8015,994.13,10.5412
2017-07-12,143.0075,1006.51,10.6245
2017-07-13,144.9995,1000.63,10.7449
2017-07-14,146.2457,1001.81,10.819
2017-07-17,146.7559,1010.04,10.8746
2017-07-18,147.2662,1024.45,10.8839
2017-07-19,148.1885,1026.87,10.958
2017-07-20,147.5213,1028.7,10.9767
2017-07-21,147.4526,1025.67,10.8173
2017-07-24,149.2385,1038.95,10.5921
2017-07-25,149.8763,1039.87,10.5733
2017-07-26,150.5828,1052.8,10.3763
2017-07-27,147.7372,1046.0,10.4889
2017-07-28,146.697,1020.04,10.4795
2017-07-31,145.9415,987.78,10.5264
2017-08-01,155.6166,996.19,10.2731
2017-08-02,154.1938,995.89,10.32
2017-08-03,152.6532,986.92,10.2543
2017-08-04,153.4579,987.58,10.2731
2017-08-07,155.8325,992.27,10.245
2017-08-08,157.0787,989.84,10.2168
2017-08-09,158.0403,982.01,10.245
2017-08-10,153.0065,956.92,10.1042
2017-08-11,155.1343,967.99,10.1042
2017-08-14,157.469,983.3,10.2356
2017-08-15,159.1929,982.74,10.1699
2017-08-16,158.5526,978.18,10.1324
2017-08-17,155.5086,960.57,9.9823
2017-08-18,155.154,958.47,9.9072
2017-08-21,154.8683,953.29,9.9166
2017-08-22,157.4,966.9,9.9917
2017-08-23,157.5971,958.0,10.0479
2017-08-24,156.8976,952.45,10.0479
